2006-01-01,56,61,Beverages,Germany,Europe
2006-01-01,22,21,Snacks,Germany,Europe
2006-01-08,24,21,Beverages,Germany,Europe
2006-01-08,31,31,Snacks,Germany,Europe
2006-01-15,8,11,Beverages,Germany,Europe
2006-01-15,28,31,Snacks,Germany,Europe
2006-01-22,16,21,Beverages,Germany,Europe
2006-01-22,25,21,Snacks,Germany,Europe
2006-01-29,63,61,Beverages,Germany,Europe
2006-01-29,7,11,Snacks,Germany,Europe
2006-02-05,20,21,Beverages,Germany,Europe
2006-02-05,43,41,Snacks,Germany,Europe
2006-02-12,52,51,Beverages,Germany,Europe
2006-02-12,65,61,Snacks,Germany,Europe
2006-02-19,0,1,Beverages,Germany,Europe
2006-02-19,63,61,Snacks,Germany,Europe
2006-02-26,5,1,Beverages,Germany,Europe
2006-02-26,48,51,Snacks,Germany,Europe
2006-03-05,1,1,Beverages,Germany,Europe
2006-03-05,42,41,Snacks,Germany,Europe
2006-03-12,57,61,Beverages,Germany,Europe
2006-03-12,54,51,Snacks,Germany,Europe
2006-03-19,27,31,Beverages,Germany,Europe
2006-03-19,63,61,Snacks,Germany,Europe
2006-03-26,5,1,Beverages,Germany,Europe
2006-03-26,40,41,Snacks,Germany,Europe
2006-04-02,0,1,Beverages,Germany,Europe
2006-04-02,45,41,Snacks,Germany,Europe
2006-04-09,31,31,Beverages,Germany,Europe
2006-04-09,35,41,Snacks,Germany,Europe
2006-04-16,0,1,Beverages,Germany,Europe
2006-04-16,45,41,Snacks,Germany,Europe
2006-04-23,23,21,Beverages,Germany,Europe
2006-04-23,0,1,Snacks,Germany,Europe
2006-04-30,17,21,Beverages,Germany,Europe
2006-04-30,62,61,Snacks,Germany,Europe
2006-05-07,14,11,Beverages,Germany,Europe
2006-05-07,21,21,Snacks,Germany,Europe
2006-05-14,6,11,Beverages,Germany,Europe
2006-05-14,52,51,Snacks,Germany,Europe
2006-05-21,56,61,Beverages,Germany,Europe
2006-05-21,25,21,Snacks,Germany,Europe
2006-05-28,28,31,Beverages,Germany,Europe
2006-05-28,54,51,Snacks,Germany,Europe
2006-06-04,32,31,Beverages,Germany,Europe
2006-06-04,17,21,Snacks,Germany,Europe
2006-06-11,40,41,Beverages,Germany,Europe
2006-06-11,15,21,Snacks,Germany,Europe
2006-06-18,26,31,Beverages,Germany,Europe
2006-06-18,69,71,Snacks,Germany,Europe
2006-06-25,17,21,Beverages,Germany,Europe
2006-06-25,37,41,Snacks,Germany,Europe
2006-07-02,52,51,Beverages,Germany,Europe
2006-07-02,40,41,Snacks,Germany,Europe
2006-07-09,14,11,Beverages,Germany,Europe
2006-07-09,2,1,Snacks,Germany,Europe
2006-07-16,65,61,Beverages,Germany,Europe
2006-07-16,31,31,Snacks,Germany,Europe
2006-07-23,25,21,Beverages,Germany,Europe
2006-07-23,38,41,Snacks,Germany,Europe
2006-07-30,27,31,Beverages,Germany,Europe
2006-07-30,41,41,Snacks,Germany,Europe
2006-08-06,64,61,Beverages,Germany,Europe
2006-08-06,28,31,Snacks,Germany,Europe
2006-08-13,6,11,Beverages,Germany,Europe
2006-08-13,45,41,Snacks,Germany,Europe
2006-08-20,19,21,Beverages,Germany,Europe
2006-08-20,52,51,Snacks,Germany,Europe
2006-08-27,48,51,Beverages,Germany,Europe
2006-08-27,7,11,Snacks,Germany,Europe
2006-09-03,49,51,Beverages,Germany,Europe
2006-09-03,53,51,Snacks,Germany,Europe
2006-09-10,41,41,Beverages,Germany,Europe
2006-09-10,19,21,Snacks,Germany,Europe
2006-09-17,55,61,Beverages,Germany,Europe
2006-09-17,31,31,Snacks,Germany,Europe
2006-09-24,26,31,Beverages,Germany,Europe
2006-09-24,42,41,Snacks,Germany,Europe
2006-10-01,31,31,Beverages,Germany,Europe
2006-10-01,58,61,Snacks,Germany,Europe
2006-10-08,69,71,Beverages,Germany,Europe
2006-10-08,55,61,Snacks,Germany,Europe
2006-10-15,19,21,Beverages,Germany,Europe
2006-10-15,31,31,Snacks,Germany,Europe
2006-10-22,17,21,Beverages,Germany,Europe
2006-10-22,33,31,Snacks,Germany,Europe
2006-10-29,62,61,Beverages,Germany,Europe
2006-10-29,53,51,Snacks,Germany,Europe
2006-11-05,55,61,Beverages,Germany,Europe
2006-11-05,15,21,Snacks,Germany,Europe
2006-11-12,67,71,Beverages,Germany,Europe
2006-11-12,53,51,Snacks,Germany,Europe
2006-11-19,65,61,Beverages,Germany,Europe
2006-11-19,38,41,Snacks,Germany,Europe
2006-11-26,24,21,Beverages,Germany,Europe
2006-11-26,15,21,Snacks,Germany,Europe
2006-12-03,31,31,Beverages,Germany,Europe
2006-12-03,0,1,Snacks,Germany,Europe
2006-12-10,47,51,Beverages,Germany,Europe
2006-12-10,57,61,Snacks,Germany,Europe
2006-12-17,67,71,Beverages,Germany,Europe
2006-12-17,58,61,Snacks,Germany,Europe
2006-12-24,36,41,Beverages,Germany,Europe
2006-12-24,18,21,Snacks,Germany,Europe
2006-12-31,20,21,Beverages,Germany,Europe
2006-12-31,33,31,Snacks,Germany,Europe
2007-01-07,84,81,Beverages,Germany,Europe
2007-01-07,42,41,Snacks,Germany,Europe
2007-01-14,70,71,Beverages,Germany,Europe
2007-01-14,67,71,Snacks,Germany,Europe
2007-01-21,58,61,Beverages,Germany,Europe
2007-01-21,28,31,Snacks,Germany,Europe
2007-01-28,89,91,Beverages,Germany,Europe
2007-01-28,47,51,Snacks,Germany,Europe
2007-02-04,49,51,Beverages,Germany,Europe
2007-02-04,53,51,Snacks,Germany,Europe
2007-02-11,28,31,Beverages,Germany,Europe
2007-02-11,43,41,Snacks,Germany,Europe
2007-02-18,12,11,Beverages,Germany,Europe
2007-02-18,56,61,Snacks,Germany,Europe
2007-02-25,67,71,Beverages,Germany,Europe
2007-02-25,46,51,Snacks,Germany,Europe
